Amount,PersonID,FamilySize,Distance,Duration,DirectVisits,OnlineVisits,Quantity,NumberofFrequentItems,TransactionMode,Area,Occupation
3563,C2092,2,5,184,13,13,456,13,2,Area1,3
6249,C2095,3,7,308,3,4,0,0,2,Area1,2
3213,C2102,3,6,446,19,11,1349,19,2,Area1,1
3500,C2103,3,8,292,19,13,658,19,2,Area1,1
3125,C2105,3,5,425,15,15,3991,15,2,Area1,1
5593,C2112,3,5,385,18,17,4242,11,2,Area1,2
5812,C2114,4,8,427,24,25,2999,22,2,Area1,3
3625,C2123,2,5,398,15,15,241,15,2,Area1,1
5000,C2126,4,21,351,23,17,423,23,2,Area1,1
2775,C2128,3,7,338,14,12,1043,14,2,Area1,2
4272,C2129,3,6,377,16,16,1002,16,1,Area2,1
3188,C2133,5,21,294,13,13,3386,12,2,Area1,3
3700,C2136,4,5,446,14,12,1211,14,2,Area1,2
4531,C2138,3,5,395,31,23,2039,31,2,Area2,1
2750,C2140,4,6,377,7,7,1378,7,2,Area1,2
4357,C2141,3,6,217,16,16,1172,7,2,Area1,2
3813,C2150,2,5,321,19,16,399,19,2,Area1,3
5449,C2151,3,8,376,24,20,210,21,2,Area1,3
4373,C2152,3,7,344,10,11,0,0,2,Area1,3
4938,C2153,3,10,410,26,20,1098,26,2,Area1,3
2610,C2155,3,8,366,7,7,1577,4,1,Area1,3
4688,C2156,4,7,370,31,24,1676,31,2,Area1,2
3625,C2158,3,7,356,28,19,3950,28,1,Area1,1
3200,C2160,3,7,312,16,16,827,16,2,Area1,3
10936,C2165,2,5,257,42,34,773,36,2,Area1,2
3313,C2166,3,9,156,7,7,68,7,2,Area1,1
2875,C2168,2,8,366,11,11,640,11,2,Area1,3
4500,C2171,3,8,463,12,12,459,12,2,Area1,1
3137,C2172,3,6,371,14,14,424,12,2,Area1,3
4437,C2173,3,6,398,21,18,335,16,1,Area1,2
2687,C2175,3,10,179,13,13,1499,12,2,Area1,1
5061,C2176,3,6,367,19,15,880,15,2,Area1,1
4905,C2177,3,5,467,19,19,920,15,2,Area1,1
3146,C2178,3,7,409,15,15,3669,15,2,Area2,3
4097,C2183,2,8,333,11,11,1153,11,2,Area2,1
6075,C2185,3,11,335,8,8,1093,0,2,Area1,2
5891,C2186,2,4,311,27,24,197,25,2,Area1,2
6015,C2188,4,4,418,19,19,1135,9,1,Area1,2
4907,C2192,3,6,269,34,24,1298,34,2,Area1,2
3949,C2194,2,5,432,11,11,871,5,2,Area1,3
2938,C2196,3,8,225,14,13,1767,14,2,Area1,3
5093,C2201,2,8,357,8,8,0,0,2,Area1,3
3313,C2202,3,5,413,14,14,159,14,2,Area1,1
2750,C2206,4,10,447,12,9,948,12,2,Area1,3
2875,C2207,2,5,181,13,13,419,13,2,Area1,2
3625,C2211,3,10,264,16,16,257,16,2,Area1,3
2875,C2216,3,5,389,12,12,801,12,2,Area1,3
2625,C2217,2,6,371,22,14,380,22,1,Area1,2
7337,C2218,2,8,251,14,13,610,5,2,Area1,1
10500,C2219,3,6,465,29,29,2677,29,2,Area1,2
3699,C2221,4,8,470,9,11,1311,4,1,Area1,1
4125,C2233,5,6,103,23,20,201,23,2,Area1,1
3750,C2234,3,7,415,18,17,1540,15,2,Area1,3
4387,C2235,3,6,207,19,17,1169,17,2,Area1,1
4716,C2239,2,6,463,18,18,761,18,2,Area1,2
2724,C2246,2,5,450,9,9,1386,5,2,Area1,1
4875,C2252,3,7,412,19,18,4520,19,2,Area1,1
4717,C2259,2,6,373,16,15,3085,13,2,Area1,1
2751,C2268,4,8,190,15,15,1833,15,2,Area1,1
4500,C2269,6,23,321,6,6,1082,2,2,Area1,2
2837,C2276,2,5,435,11,11,1251,9,2,Area1,2
2750,C2277,3,6,466,11,11,1390,11,2,Area1,2
2500,C2287,2,5,287,8,8,3091,8,2,Area1,1
3625,C2289,3,8,211,9,9,713,9,2,Area1,1
3813,C2294,3,9,258,16,13,3371,16,2,Area1,3
3500,C2295,3,6,319,11,11,359,11,2,Area1,1
2724,C2299,4,9,272,9,10,1140,7,2,Area1,1
